Player,Position,Draft_Year,Draft_Round,Draft_Pick,Age_when_Drafted,Team,From,To,NFL_Years_Played,Hall_of_Fame_Inductee,All_Pro_First_Team_Selections,Pro_Bowl_Selections,Years_as_NFL_Starter,CarAV,College_Games,College_Games_Started,Rushing_Attempts,Rushing_Yards,Rushing_Touchdowns,Receptions,Receiving _Yards,Receiving_Touchdowns,College_University
Josh_Robinson,RB,2015,6,205,23,IND,2015,2015,1,0,0,0,0,0,5,0,17,39,0,6,33,0,Mississippi_St
Aaron_Ripkowski,FB,2015,6,206,22,GNB,2015,2017,3,0,0,0,1,2,47,10,39,163,2,17,103,1,Oklahoma
Marcus_Murphy,RB,2015,7,230,24,NOR,2015,2018,4,0,0,0,0,2,28,1,60,291,0,14,36,0,Missouri
Joey_Iosefa,FB,2015,7,231,24,TAM,2015,2015,1,0,0,0,0,0,2,0,15,51,0,0,0,0,Hawaii
Kenny_Hilliard,RB,2015,7,235,23,HOU,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LSU
Bishop_Sankey,RB,2014,2,54,21,TEN,2014,2015,2,0,0,0,1,6,29,12,199,762,3,32,272,1,Washington
Jeremy_Hill,RB,2014,2,55,21,CIN,2014,2018,5,0,0,0,3,21,55,43,708,2898,29,68,490,1,LSU
Carlos_Hyde,RB,2014,2,57,23,SFO,2014,2019,6,0,0,0,3,28,80,57,1072,4370,32,129,709,3,Ohio_St
Charles_Sims,RB,2014,3,69,23,TAM,2014,2017,4,0,0,0,0,13,47,2,245,958,2,129,1190,6,West_Virginia
Tre_Mason,RB,2014,3,75,21,STL,2014,2015,2,0,0,0,1,7,25,12,254,972,5,34,236,1,Auburn
Terrance_West,RB,2014,3,94,23,CLE,2014,2017,4,0,0,0,1,12,43,23,465,1816,11,51,344,2,Towson
Jerick_McKinnon,RB,2014,3,96,22,MIN,2014,2017,4,0,0,0,0,21,58,14,474,1918,7,142,984,5,Georgia_Southern
Devonta_Freeman,RB,2014,4,103,22,ATL,2014,2019,6,0,0,2,4,43,77,59,951,3972,32,257,2015,11,Florida_St
Andre_Williams,RB,2014,4,113,22,NYG,2014,2017,4,0,0,0,0,7,41,7,332,1090,8,19,137,0,Boston_Col
Ka'Deem_Carey,RB,2014,4,117,21,CHI,2014,2016,3,0,0,0,0,3,36,1,111,443,2,13,131,1,Arizona
De'Anthony_Thomas,RB,2014,4,124,21,KAN,2014,2019,6,0,0,0,0,7,69,6,31,191,2,65,509,4,Oregon
